DateTime,Bid,Ask,Close
20200107 05:00:00.000,0.0,0.0,8864.5
20200107 05:15:00.000,0.0,0.0,8860.7
20200107 05:30:00.000,0.0,0.0,8857.4
20200107 05:45:00.000,0.0,0.0,8857.4
20200107 06:00:00.000,0.0,0.0,8853.3
20200107 06:15:00.000,0.0,0.0,8845.8
20200107 06:30:00.000,0.0,0.0,8848.6
20200107 06:45:00.000,0.0,0.0,8852.5
20200107 07:00:00.000,0.0,0.0,8862.8
20200107 07:15:00.000,0.0,0.0,8847.8
20200107 07:30:00.000,0.0,0.0,8841.6
20200107 07:45:00.000,0.0,0.0,8846.1
20200107 08:00:00.000,0.0,0.0,8857.4
20200107 08:15:00.000,0.0,0.0,8861.2
20200107 08:30:00.000,0.0,0.0,8859.7
20200107 08:45:00.000,0.0,0.0,8860.9
20200107 09:00:00.000,0.0,0.0,8858.8
20200107 09:15:00.000,0.0,0.0,8865.3
20200107 09:30:00.000,0.0,0.0,8861.3
20200107 09:45:00.000,0.0,0.0,8858.7
20200107 10:00:00.000,0.0,0.0,8858.1
20200107 10:15:00.000,0.0,0.0,8852.7
20200107 10:30:00.000,0.0,0.0,8852.1
20200107 10:45:00.000,0.0,0.0,8857.1
20200107 11:00:00.000,0.0,0.0,8856.3
20200107 11:15:00.000,0.0,0.0,8851.7
20200107 11:30:00.000,0.0,0.0,8851.8
20200107 11:45:00.000,0.0,0.0,8848.4
20200107 12:00:00.000,0.0,0.0,8855.7
20200107 12:15:00.000,0.0,0.0,8856.4
20200107 12:30:00.000,0.0,0.0,8859.7
20200107 12:45:00.000,0.0,0.0,8861.4
20200107 13:00:00.000,0.0,0.0,8852.9
20200107 13:15:00.000,0.0,0.0,8853.9
20200107 13:30:00.000,0.0,0.0,8845.3
20200107 13:45:00.000,0.0,0.0,8838.3
20200107 14:00:00.000,0.0,0.0,8843.2
20200107 14:15:00.000,0.0,0.0,8848.2
20200107 14:30:00.000,0.0,0.0,8819.7
20200107 14:45:00.000,0.0,0.0,8839.3
20200107 15:00:00.000,0.0,0.0,8854.4
20200107 15:15:00.000,0.0,0.0,8848.9
20200107 15:30:00.000,0.0,0.0,8843.9
20200107 15:45:00.000,0.0,0.0,8859.9
20200107 16:00:00.000,0.0,0.0,8866.7
20200107 16:15:00.000,0.0,0.0,8867.4
20200107 16:30:00.000,0.0,0.0,8858.4
20200107 16:45:00.000,0.0,0.0,8853.3
20200107 17:00:00.000,0.0,0.0,8853.2
20200107 17:15:00.000,0.0,0.0,8861.3
20200107 17:30:00.000,0.0,0.0,8857.4
20200107 17:45:00.000,0.0,0.0,8859.6
20200107 18:00:00.000,0.0,0.0,8865.4
20200107 18:15:00.000,0.0,0.0,8863.9
20200107 18:30:00.000,0.0,0.0,8862.1
20200107 18:45:00.000,0.0,0.0,8868.4
20200107 19:00:00.000,0.0,0.0,8850.6
20200107 19:15:00.000,0.0,0.0,8854.7
20200107 19:30:00.000,0.0,0.0,8851.8
20200107 19:45:00.000,0.0,0.0,8855.6
20200107 20:00:00.000,0.0,0.0,8861.9
20200107 20:15:00.000,0.0,0.0,8863.4
20200107 20:30:00.000,0.0,0.0,8859.2
20200107 20:45:00.000,0.0,0.0,8846.1
20200107 21:00:00.000,0.0,0.0,8836.1
20200107 23:00:00.000,0.0,0.0,8813.5
20200107 23:15:00.000,0.0,0.0,8766.7
20200107 23:30:00.000,0.0,0.0,8724.2
20200107 23:45:00.000,0.0,0.0,8735.4
20200108 00:00:00.000,0.0,0.0,8698.6
20200108 00:15:00.000,0.0,0.0,8690.8
20200108 00:30:00.000,0.0,0.0,8676.2
20200108 00:45:00.000,0.0,0.0,8693.4
20200108 01:00:00.000,0.0,0.0,8694.0
20200108 01:15:00.000,0.0,0.0,8694.4
20200108 01:30:00.000,0.0,0.0,8747.1
20200108 01:45:00.000,0.0,0.0,8732.5
20200108 02:00:00.000,0.0,0.0,8762.5
20200108 02:15:00.000,0.0,0.0,8751.4
20200108 02:30:00.000,0.0,0.0,8783.0
20200108 02:45:00.000,0.0,0.0,8801.1
20200108 03:00:00.000,0.0,0.0,8791.5
20200108 03:15:00.000,0.0,0.0,8800.1
20200108 03:30:00.000,0.0,0.0,8792.9
20200108 03:45:00.000,0.0,0.0,8800.1
20200108 04:00:00.000,0.0,0.0,8802.4
20200108 04:15:00.000,0.0,0.0,8797.9
20200108 04:30:00.000,0.0,0.0,8797.4
20200108 04:45:00.000,0.0,0.0,8789.9
20200108 05:00:00.000,0.0,0.0,8799.2
20200108 05:15:00.000,0.0,0.0,8793.1
20200108 05:30:00.000,0.0,0.0,8790.1
20200108 05:45:00.000,0.0,0.0,8786.9
20200108 06:00:00.000,0.0,0.0,8791.2
20200108 06:15:00.000,0.0,0.0,8795.5
20200108 06:30:00.000,0.0,0.0,8794.4
20200108 06:45:00.000,0.0,0.0,8792.9
20200108 07:00:00.000,0.0,0.0,8806.0
20200108 07:15:00.000,0.0,0.0,8805.6
20200108 07:30:00.000,0.0,0.0,8810.4
20200108 07:45:00.000,0.0,0.0,8810.2
20200108 08:00:00.000,0.0,0.0,8806.5
20200108 08:15:00.000,0.0,0.0,8809.2
20200108 08:30:00.000,0.0,0.0,8808.2
20200108 08:45:00.000,0.0,0.0,8815.2
20200108 09:00:00.000,0.0,0.0,8821.9
20200108 09:15:00.000,0.0,0.0,8815.9
20200108 09:30:00.000,0.0,0.0,8816.5
20200108 09:45:00.000,0.0,0.0,8822.2
20200108 10:00:00.000,0.0,0.0,8820.0
20200108 10:15:00.000,0.0,0.0,8833.4
20200108 10:30:00.000,0.0,0.0,8837.5
20200108 10:45:00.000,0.0,0.0,8850.1
20200108 11:00:00.000,0.0,0.0,8845.0
20200108 11:15:00.000,0.0,0.0,8861.2
20200108 11:30:00.000,0.0,0.0,8859.0
20200108 11:45:00.000,0.0,0.0,8851.5
20200108 12:00:00.000,0.0,0.0,8851.7
20200108 12:15:00.000,0.0,0.0,8847.6
20200108 12:30:00.000,0.0,0.0,8854.4
20200108 12:45:00.000,0.0,0.0,8858.0
20200108 13:00:00.000,0.0,0.0,8857.9
20200108 13:15:00.000,0.0,0.0,8863.2
20200108 13:30:00.000,0.0,0.0,8856.5
20200108 13:45:00.000,0.0,0.0,8850.0
20200108 14:00:00.000,0.0,0.0,8851.2
20200108 14:15:00.000,0.0,0.0,8842.4
20200108 14:30:00.000,0.0,0.0,8868.4
20200108 14:45:00.000,0.0,0.0,8874.0
20200108 15:00:00.000,0.0,0.0,8876.0
20200108 15:15:00.000,0.0,0.0,8866.4
20200108 15:30:00.000,0.0,0.0,8856.8
20200108 15:45:00.000,0.0,0.0,8854.6
20200108 16:00:00.000,0.0,0.0,8864.8
20200108 16:15:00.000,0.0,0.0,8880.3
20200108 16:30:00.000,0.0,0.0,8915.4
20200108 16:45:00.000,0.0,0.0,8909.1
20200108 17:00:00.000,0.0,0.0,8911.0
20200108 17:15:00.000,0.0,0.0,8921.1
20200108 17:30:00.000,0.0,0.0,8916.3
20200108 17:45:00.000,0.0,0.0,8922.6
20200108 18:00:00.000,0.0,0.0,8920.4
20200108 18:15:00.000,0.0,0.0,8922.4
20200108 18:30:00.000,0.0,0.0,8924.0
20200108 18:45:00.000,0.0,0.0,8915.9
20200108 19:00:00.000,0.0,0.0,8926.5
20200108 19:15:00.000,0.0,0.0,8923.7
20200108 19:30:00.000,0.0,0.0,8927.6
20200108 19:45:00.000,0.0,0.0,8931.5
20200108 20:00:00.000,0.0,0.0,8946.3
